id,deviceID,datetime,pm25,pm10,aqi,co2,voc,temp,humidity,battery,viral_index
49596,DELDPCC016,01-07-2024 16:10,36,102,101,0,0,36.6,52.1,5,0
49600,DELDPCC016,01-07-2024 16:20,36,102,101,0,0,36.6,52,5,0
49603,DELDPCC016,01-07-2024 16:25,36,102,101,0,0,36.4,52.6,5,0
49611,DELDPCC016,01-07-2024 16:45,36,102,101,0,0,36.2,53.2,5,0
49614,DELDPCC016,01-07-2024 16:50,36,102,101,0,0,36.3,53.2,5,0
49618,DELDPCC016,01-07-2024 17:05,30,121,114,0,0,36.3,52.9,5,0
49621,DELDPCC016,01-07-2024 17:15,30,121,114,0,0,35.9,53.5,5,0
49625,DELDPCC016,01-07-2024 17:30,30,121,114,0,0,35.4,55.2,5,0
49631,DELDPCC016,01-07-2024 17:45,30,121,114,0,0,35.2,56.2,5,0
49636,DELDPCC016,01-07-2024 17:50,30,121,114,0,0,35,57.4,5,0
49640,DELDPCC016,01-07-2024 18:05,30,117,111,0,0,34.8,59.8,5,0
49643,DELDPCC016,01-07-2024 18:20,30,117,111,0,0,34.6,61,5,0
49646,DELDPCC016,01-07-2024 18:30,30,117,111,0,0,34.5,61.7,5,0
49654,DELDPCC016,01-07-2024 18:45,30,117,111,0,0,34.2,63,5,0
49658,DELDPCC016,01-07-2024 18:50,30,117,111,0,0,34.1,64.1,5,0
49662,DELDPCC016,01-07-2024 19:05,36,186,157,0,0,33.8,65.2,5,0
49666,DELDPCC016,01-07-2024 19:20,36,186,157,0,0,33.6,66.5,5,0
49671,DELDPCC016,01-07-2024 19:30,36,186,157,0,0,33.5,66.9,5,0
49678,DELDPCC016,01-07-2024 19:45,36,186,157,0,0,33.5,67.3,5,0
49684,DELDPCC016,01-07-2024 19:55,36,186,157,0,0,33.4,67.5,5,0
49689,DELDPCC016,01-07-2024 20:05,42,165,143,0,0,33.4,67.6,5,0
49693,DELDPCC016,01-07-2024 20:20,42,165,143,0,0,33.4,67.7,5,0
49697,DELDPCC016,01-07-2024 20:30,42,165,143,0,0,33.3,67.9,5,0
49704,DELDPCC016,01-07-2024 20:45,42,165,143,0,0,33.3,67.8,5,0
49707,DELDPCC016,01-07-2024 20:50,42,165,143,0,0,33.3,67.5,5,0
49712,DELDPCC016,01-07-2024 21:05,44,197,165,0,0,33.3,67.6,5,0
49716,DELDPCC016,01-07-2024 21:15,44,197,165,0,0,33.3,67.7,5,0
49720,DELDPCC016,01-07-2024 21:30,44,197,165,0,0,33.3,68,5,0
49727,DELDPCC016,01-07-2024 21:45,44,197,165,0,0,33.2,68.4,5,0
49730,DELDPCC016,01-07-2024 21:50,44,197,165,0,0,33.2,68.5,5,0
49735,DELDPCC016,01-07-2024 22:05,46,211,174,0,0,33.2,68.8,5,0
49739,DELDPCC016,01-07-2024 22:20,46,211,174,0,0,33,69.6,5,0
49744,DELDPCC016,01-07-2024 22:30,46,211,174,0,0,33,69.4,5,0
49750,DELDPCC016,01-07-2024 22:45,46,211,174,0,0,33,70.1,5,0
49753,DELDPCC016,01-07-2024 22:50,46,211,174,0,0,33,70,5,0
