CreatedDate,pm25_Lakshmi K: Kitchen,pm10_Lakshmi K: Kitchen,aqi_Lakshmi K: Kitchen,co2_Lakshmi K: Kitchen,voc_Lakshmi K: Kitchen,temperature_Lakshmi K: Kitchen,humidity_Lakshmi K: Kitchen,battery_Lakshmi K: Kitchen
2024-07-02 00:30:00,33.0000,40.0000,55,470.0000,563.0000,33.0,59.0000,100
2024-07-02 01:00:00,35.0000,41.0000,58,446.0000,497.0000,33.0,60.0000,100
2024-07-02 01:30:00,31.0000,36.0000,52,448.0000,468.0000,33.0,59.0000,100
2024-07-02 02:00:00,30.0000,35.0000,50,441.0000,427.0000,33.0,59.0000,100
2024-07-02 02:30:00,28.0000,33.0000,47,446.0000,427.0000,33.0,60.0000,100
2024-07-02 03:00:00,27.0000,32.0000,45,453.0000,403.0000,33.0,58.0000,100
2024-07-02 03:30:00,27.0000,32.0000,45,454.0000,395.0000,33.0,58.0000,100
2024-07-02 04:00:00,27.0000,31.0000,45,460.0000,407.0000,33.0,57.0000,100
2024-07-02 04:30:00,26.0000,31.0000,43,459.0000,403.0000,33.0,57.0000,100
2024-07-02 05:00:00,24.0000,29.0000,40,475.0000,440.0000,33.0,56.0000,100
2024-07-02 05:30:00,25.0000,30.0000,42,465.0000,432.0000,33.0,56.0000,100
2024-07-02 06:00:00,26.0000,30.0000,43,520.0000,668.0000,33.0,56.0000,100
2024-07-02 06:30:00,32.0000,37.0000,53,606.0000,515.0000,33.0,59.0000,100
2024-07-02 07:00:00,33.0000,38.0000,55,487.0000,654.0000,33.0,59.0000,100
2024-07-02 07:30:00,43.0000,53.0000,72,624.0000,595.0000,33.0,60.0000,100
2024-07-02 08:00:00,39.0000,48.0000,65,571.0000,634.0000,33.0,61.0000,80
2024-07-02 08:30:00,79.0000,97.0000,163,515.0000,537.0000,33.0,61.0000,100
2024-07-02 09:00:00,123.0000,145.0000,302,490.0000,512.0000,33.0,61.0000,100
2024-07-02 09:30:00,72.0000,89.0000,140,465.0000,516.0000,33.0,59.0000,100
2024-07-02 10:00:00,38.0000,46.0000,63,426.0000,403.0000,33.0,58.0000,100
2024-07-02 10:30:00,96.0000,139.0000,220,467.0000,436.0000,33.0,59.0000,100
2024-07-02 11:00:00,100.0000,115.0000,233,514.0000,578.0000,33.0,60.0000,100
2024-07-02 11:30:00,43.0000,52.0000,72,419.0000,240.0000,33.0,59.0000,100
2024-07-02 12:00:00,43.0000,53.0000,72,444.0000,236.0000,33.0,60.0000,100
2024-07-02 12:30:00,48.0000,59.0000,80,528.0000,356.0000,33.0,61.0000,100
2024-07-02 13:00:00,42.0000,51.0000,70,696.0000,564.0000,34.0,62.0000,100
2024-07-02 13:30:00,28.0000,32.0000,47,452.0000,224.0000,34.0,59.0000,100
2024-07-02 14:00:00,27.0000,31.0000,45,420.0000,140.0000,34.0,58.0000,100
2024-07-02 14:30:00,22.0000,27.0000,37,403.0000,110.0000,34.0,56.0000,100
2024-07-02 15:00:00,18.0000,22.0000,30,402.0000,100.0000,34.0,55.0000,100
2024-07-02 15:30:00,19.0000,23.0000,32,408.0000,113.0000,34.0,55.0000,100
2024-07-02 16:00:00,19.0000,24.0000,32,403.0000,128.0000,34.0,55.0000,100
2024-07-02 16:30:00,17.0000,21.0000,28,406.0000,167.0000,34.0,56.0000,100
2024-07-02 17:00:00,32.0000,38.0000,53,585.0000,742.0000,34.0,59.0000,100
2024-07-02 17:30:00,14.0000,18.0000,23,418.0000,400.0000,34.0,57.0000,100
2024-07-02 18:00:00,16.0000,21.0000,27,512.0000,611.0000,34.0,57.0000,100
2024-07-02 18:30:00,20.0000,25.0000,33,615.0000,759.0000,34.0,58.0000,100
2024-07-02 19:00:00,23.0000,28.0000,38,458.0000,507.0000,34.0,58.0000,100
2024-07-02 19:30:00,23.0000,28.0000,38,441.0000,487.0000,34.0,58.0000,100
2024-07-02 20:00:00,19.0000,24.0000,32,454.0000,503.0000,34.0,58.0000,100
2024-07-02 20:30:00,20.0000,25.0000,33,471.0000,660.0000,33.0,59.0000,100
2024-07-02 21:00:00,20.0000,25.0000,33,480.0000,722.0000,33.0,59.0000,100
2024-07-02 21:30:00,21.0000,26.0000,35,487.0000,758.0000,33.0,59.0000,100
2024-07-02 22:00:00,22.0000,26.0000,37,474.0000,602.0000,33.0,59.0000,100
2024-07-02 22:30:00,30.0000,35.0000,50,469.0000,592.0000,33.0,58.0000,100
2024-07-02 23:00:00,36.0000,44.0000,60,474.0000,709.0000,33.0,59.0000,100
2024-07-02 23:30:00,35.0000,43.0000,58,487.0000,1000.0000,33.0,59.0000,100
2024-07-03 00:00:00,28.0000,33.0000,47,499.0000,830.0000,33.0,58.0000,100
2024-07-03 00:30:00,25.0000,29.0000,42,504.0000,694.0000,33.0,57.0000,100
2024-07-03 01:00:00,24.0000,28.0000,40,503.0000,595.0000,33.0,56.0000,100
2024-07-03 01:30:00,24.0000,29.0000,40,489.0000,513.0000,33.0,56.0000,100
2024-07-03 02:00:00,24.0000,28.0000,40,500.0000,486.0000,33.0,55.0000,100
