CreatedDate,pm25_Lakshmi K: Kitchen,pm10_Lakshmi K: Kitchen,aqi_Lakshmi K: Kitchen,co2_Lakshmi K: Kitchen,voc_Lakshmi K: Kitchen,temperature_Lakshmi K: Kitchen,humidity_Lakshmi K: Kitchen,battery_Lakshmi K: Kitchen
2024-07-02 01:00:00,34.0000,40.5000,57,458.0000,530.0000,33.0,59.5000,100
2024-07-02 02:00:00,30.5000,35.5000,51,444.5000,447.5000,33.0,59.0000,100
2024-07-02 03:00:00,27.5000,32.5000,46,449.5000,415.0000,33.0,59.0000,100
2024-07-02 04:00:00,27.0000,31.5000,45,457.0000,401.0000,33.0,57.5000,100
2024-07-02 05:00:00,25.0000,30.0000,42,467.0000,421.5000,33.0,56.5000,100
2024-07-02 06:00:00,25.5000,30.0000,42,492.5000,550.0000,33.0,56.0000,100
2024-07-02 07:00:00,32.5000,37.5000,54,546.5000,584.5000,33.0,59.0000,100
2024-07-02 08:00:00,41.0000,50.5000,68,597.5000,614.5000,33.0,60.5000,80
2024-07-02 09:00:00,101.0000,121.0000,237,502.5000,524.5000,33.0,61.0000,100
2024-07-02 10:00:00,55.0000,67.5000,92,445.5000,459.5000,33.0,58.5000,100
2024-07-02 11:00:00,98.0000,127.0000,227,490.5000,507.0000,33.0,59.5000,100
2024-07-02 12:00:00,43.0000,52.5000,72,431.5000,238.0000,33.0,59.5000,100
2024-07-02 13:00:00,45.0000,55.0000,75,612.0000,460.0000,33.5,61.5000,100
2024-07-02 14:00:00,27.5000,31.5000,46,436.0000,182.0000,34.0,58.5000,100
2024-07-02 15:00:00,20.0000,24.5000,33,402.5000,105.0000,34.0,55.5000,100
2024-07-02 16:00:00,19.0000,23.5000,32,405.5000,120.5000,34.0,55.0000,100
2024-07-02 17:00:00,24.5000,29.5000,41,495.5000,454.5000,34.0,57.5000,100
2024-07-02 18:00:00,15.0000,19.5000,25,465.0000,505.5000,34.0,57.0000,100
2024-07-02 19:00:00,21.5000,26.5000,36,536.5000,633.0000,34.0,58.0000,100
2024-07-02 20:00:00,21.0000,26.0000,35,447.5000,495.0000,34.0,58.0000,100
2024-07-02 21:00:00,20.0000,25.0000,33,475.5000,691.0000,33.0,59.0000,100
2024-07-02 22:00:00,21.5000,26.0000,36,480.5000,680.0000,33.0,59.0000,100
