deviceID,datetime,max_pm25,max_pm10,max_aqi,max_temp,max_hum,min_pm25,min_pm10,min_aqi,min_temp,min_hum,avg_pm25,avg_pm10,avg_aqi,avg_temp,avg_hum
DELCPCB005,01-07-2024 00:30,34,125,117,30.22,76.79,34,125,117,30.22,76.79,34,125,117,30.22,76.79
CPCB1703205345,01-07-2024 01:30,65,129,119,29.84,100.13,65,129,119,29.84,100.13,65,129,119,29.84,100.13
DELCPCB005,01-07-2024 01:30,36,85,135,29.74,78.26,36,85,135,29.74,78.26,36,85,135,29.74,78.26
DELCPCB005,01-07-2024 08:30,30,218,179,30.27,71.09,30,218,179,30.27,71.09,30,218,179,30.27,71.09
DELCPCB005,01-07-2024 09:30,32,66,142,31.13,68.36,32,66,142,31.13,68.36,32,66,142,31.13,68.36
CPCB1703205345,01-07-2024 10:30,66,146,131,31.16,93.67,66,146,131,31.16,93.67,66,146,131,31.16,93.67
DELCPCB010,01-07-2024 11:30,27,94,94,0,0,27,94,94,0,0,27,94,94,0,0
DELCPCB005,01-07-2024 12:30,44,137,140,32.89,64.47,44,137,140,32.89,64.47,44,137,140,32.89,64.47
DELCPCB010,01-07-2024 12:30,36,98,136,0,0,34,95,98,0,0,35,96.5,117,0,0
DELCPCB010,01-07-2024 13:30,33,90,194,0,0,33,90,194,0,0,33,90,194,0,0
CPCB1703205345,01-07-2024 15:30,41,145,130,34.76,65.04,41,145,130,34.76,65.04,41,145,130,34.76,65.04
CPCB1703205345,01-07-2024 16:30,42,146,131,35.23,64.1,42,146,131,35.23,64.1,42,146,131,35.23,64.1
DELCPCB010,01-07-2024 16:30,0,106,274,0,0,0,106,274,0,0,0,106,274,0,0
DELDPCC016,01-07-2024 16:30,36,102,101,36.6,52.1,36,102,101,36.6,52.1,36,102,101,36.6,52.1
DELDPCC018,01-07-2024 16:30,38,86,86,35.3,52.5,38,86,86,35.3,52.5,38,86,86,35.3,52.5
THIRD_DPCC_SCR_RKPURAM,01-07-2024 16:30,40,112,108,31.6,60.8,40,112,108,31.6,60.8,40,112,108,31.6,60.8
DELCPCB010,01-07-2024 17:30,0,109,181,0,0,0,109,181,0,0,0,109,181,0,0
DELDPCC016,01-07-2024 17:30,36,121,114,36.3,53.2,30,102,101,36.2,52.9,34,108.333,105.333,36.2667,53.1
DELDPCC018,01-07-2024 17:30,38,94,94,34.9,55.1,38,86,86,34.7,54,38,88,88,34.825,54.475
THIRD_DPCC_SCR_RKPURAM,01-07-2024 17:30,40,112,115,31.2,63.2,39,85,105,30.9,62.3,39.75,105.25,109,31.1,62.525
DELCPCB010,01-07-2024 18:30,34,96,96,0,0,34,96,96,0,0,34,96,96,0,0
DELDPCC016,01-07-2024 18:30,30,121,114,35.2,59.8,30,117,111,34.8,56.2,30,119.667,113,35,57.8
DELDPCC018,01-07-2024 18:30,38,112,108,34.7,58,36,94,94,34.3,57.2,37.3333,100,98.6667,34.5,57.5333
THIRD_DPCC_SCR_RKPURAM,01-07-2024 18:30,39,85,120,31,63.4,35,83,99,30.6,63.1,37,84,109.75,30.725,63.2
DELCPCB010,01-07-2024 19:30,26,104,103,0,0,0,92,92,0,0,13,98,97.5,0,0
DELDPCC016,01-07-2024 19:30,36,186,157,34.2,65.2,30,117,111,33.8,63,32,140,126.333,34.0333,64.1
DELDPCC018,01-07-2024 19:30,41,177,151,33.3,64.5,36,112,108,32.9,63.1,38.5,144.5,129.5,33.1,63.8
THIRD_DPCC_SCR_RKPURAM,01-07-2024 19:30,36,83,83,30.2,66.8,35,83,83,29.8,63.7,35.25,83,83,30,65.25
DELCPCB010,01-07-2024 20:30,0,161,141,0,0,0,161,141,0,0,0,161,141,0,0
DELDPCC006,01-07-2024 20:30,29,136,124,36.7,66.2,29,136,124,36.5,64.6,29,136,124,36.6,65.4667
DELDPCC016,01-07-2024 20:30,42,186,157,33.5,67.6,36,165,143,33.4,67.3,38,179,152.333,33.4333,67.4667
DELDPCC018,01-07-2024 20:30,41,177,151,32.2,68.7,36,127,118,32.2,67.8,39.3333,160.333,140,32.2,68.1333
THIRD_DPCC_SCR_RKPURAM,01-07-2024 20:30,42,112,108,29.3,69.4,36,83,83,29.1,68.5,39,97.5,95.5,29.175,68.925
DELDPCC006,01-07-2024 21:30,31,155,137,36.3,68,31,155,137,36.3,67.6,31,155,137,36.3,67.8
DELDPCC016,01-07-2024 21:30,44,197,165,33.3,67.8,42,165,143,33.3,67.5,42.6667,175.667,150.333,33.3,67.6333
DELDPCC018,01-07-2024 21:30,41,149,133,31.8,72.4,36,127,118,31.7,71.2,38.5,138,125.5,31.75,71.8
THIRD_DPCC_SCR_RKPURAM,01-07-2024 21:30,63,112,110,28.7,71.8,42,106,108,28.4,70.7,52.5,109,109,28.575,71.225
DELDPCC006,01-07-2024 22:30,32,162,195,36.2,68.2,32,162,141,36.2,68,32,162,159.333,36.2,68.1333
DELDPCC016,01-07-2024 22:30,46,211,174,33.2,68.8,44,197,165,33.2,68.4,44.6667,201.667,168,33.2,68.5667
DELDPCC018,01-07-2024 22:30,48,155,137,31.3,76.3,41,149,133,31.3,74.7,44.5,152,135,31.3,75.5
